tech,pedigree,market_class,special characteristics,heritability,yield
Boroto,,red mottled,,,
Calima Uyole (Check),,sugar,,,
COD MLB 0033,N/A,red mottled,yield,N/A,above 1.4t
Gloria,N/A,sugar,tolerant to diseases,N/A,above 1.9t
KAB 36,N/A,red mottled,iron anda zinc,N/A,above 1.5t
Kablanketi,N/A,kablanket,early maturing,N/A,above 1.10t
KATB9  (check),N/A,red,early maturing,N/A,above 1.15t
Kipapi,N/A,kablanket,yield,N/A,above 1.13t
NUA 48,N/A,red mottled,tolerant to diseases,N/A,above 1.11t
NUA 64,N/A,red mottled,tolerant to diseases,N/A,above 1.12t
RCB 593,N/A,red,heat,N/A,above 1.2t
RWR 2154,N/A,sugar,iron anda zinc,N/A,above 1.6t
SCR 61,N/A,red,heat,N/A,above 1.3t
Selian 12,N/A,red,early maturing,N/A,above 1.17t
SMC18,N/A,white,tolerant to diseases,N/A,above 1.7t
Sweet violet,N/A,sugar,tolerant to diseases,N/A,above 1.8t
Uyole 18,,sugar,,,
Uyole03  (Check),N/A,sugar,cooked fast,N/A,above 1.16t
VTT923/23-10 (Uyole),N/A,sugar,tolerant to diseases,N/A,above 1.14t
