"block_id","vegetative_geotrial_longitude","vegetative_geotrial_latitude"
"bean22reco-96",35.78894,-3.285223
"bean22reco-99",35.78877,-3.285196
"bean22reco-160",35.66084,-3.64534
"bean22reco-170",35.68421,-3.397789
"bean22reco-217",35.6793,-3.590313
"bean22reco-218",35.68031,-3.590195
"bean22reco-241",35.83281,-3.268012
"bea22kilin-1",37.4334,-5.373805
"bea22kilin-3",37.44881,-5.382307
"bea22kilin-4",37.44184,-5.378578
"bea22kilin-5",37.44404,-5.380321
"bea22kilin-6",37.4441,-5.380282
"bea22kilin-7",37.43561,-5.378979
"bea22kilin-8",37.44717,-5.43217
"bea22kilin-9",37.4471,-5.444184
"bea22kilin-11",37.29186,-5.591722
"bea22kilin-17",37.28086,-5.586771
"bea22kilin-21",37.27494,-5.564399
"bea22kilin-22",37.28149,-5.552011
"bea22kilin-23",37.28019,-5.550498
"bea22kilin-24",37.27555,-5.551051
"bea22kilin-31",37.32907,-5.564437
"bea22kilin-33",37.33702,-5.542356
"bea22kilin-34",37.32162,-5.567771
"bea22kilin-36",37.60336,-5.639674
"bea22kilin-38",37.60272,-5.64125
"bea22kilin-42",37.59867,-5.584445
"bea22kilin-44",37.62509,-5.636912
"bea22kilin-47",37.29287,-5.718689
"bea22kilin-48",37.27029,-5.705729
